Product ID,Display Name,Available,Part Number,Category,Product URL,Discount Price,List Price,Brand Name,Brand URL,Brand Logo URL,Primary Image Index
104481,"ProbioSlim®, Weight Loss Essentials, 120 Vegetable Capsules",True,FOA-01478,Supplements,https://www.iherb.com/pr/force-factor-probioslim-weight-loss-essentials-120-vegetable-capsules/104481,$9.79,$9.79,Force Factor,https://www.iherb.com/c/force-factor,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/FOA/1674753030.png",33
67690,"Creatine, Pharmaceutical Grade, 5 g, 14.11 oz (400 g)",True,AMX-12396,Sports,https://www.iherb.com/pr/allmax-creatine-pharmaceutical-grade-5-g-14-11-oz-400-g/67690,$20.99,$29.99,ALLMAX,https://www.iherb.com/c/allmax,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/AMX/1663717618.png",83
77316,"L-Carnitine500®, 500 mg, 120 Capsules",True,EVL-02018,Supplements,https://www.iherb.com/pr/evlution-nutrition-l-carnitine500-500-mg-120-capsules/77316,$12.65,$14.06,EVLution Nutrition,https://www.iherb.com/c/evlution-nutrition,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/EVL/1660084533.png",56
113914,"LeanFire® PM, Nighttime Fat Burner, 60 Vegetable Capsules",True,FOA-01540,Supplements,https://www.iherb.com/pr/force-factor-leanfire-pm-nighttime-fat-burner-60-vegetable-capsules/113914,$13.49,$13.49,Force Factor,https://www.iherb.com/c/force-factor,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/FOA/1674753030.png",38
109322,"Omega-3 Fish Oil, Triple Strength, 120 Softgels",True,SRE-09114,Sports,https://www.iherb.com/pr/sports-research-omega-3-fish-oil-triple-strength-120-softgels/109322,$36.97,$36.97,Sports Research,https://www.iherb.com/c/sports-research,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/SRE/1688077568.png",40
113871,"Omega-3 Fish Oil, Triple Strength, 180 Softgels",True,SRE-09153,Sports,https://www.iherb.com/pr/sports-research-omega-3-fish-oil-triple-strength-180-softgels/113871,$54.97,$54.97,Sports Research,https://www.iherb.com/c/sports-research,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/SRE/1688077568.png",40
99942,"Vegan Omega-3, 60 Veggie Softgels",True,SRE-01115,Supplements,https://www.iherb.com/pr/sports-research-vegan-omega-3-60-veggie-softgels/99942,$27.97,$27.97,Sports Research,https://www.iherb.com/c/sports-research,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/SRE/1688077568.png",60
143718,"Sport, Creatine Monohydrate, Unflavored, 2.2 lbs (1 kg)",True,CGN-02521,Sports,https://www.iherb.com/pr/california-gold-nutrition-sport-creatine-monohydrate-unflavored-2-2-lbs-1-kg/143718,$21.92,$29.23,California Gold Nutrition,https://www.iherb.com/c/california-gold-nutrition,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/CGN/1729266818.png",22
103856,"TUDCA+, 250 mg, 60 Capsules",True,AMX-22906,Supplements,https://www.iherb.com/pr/allmax-tudca-250-mg-60-capsules/103856,$40.68,$40.68,ALLMAX,https://www.iherb.com/c/allmax,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/AMX/1663717618.png",44
92368,"Astaxanthin, Triple Strength, 12 mg, 60 Softgels",True,SRE-01256,Sports,https://www.iherb.com/pr/sports-research-astaxanthin-triple-strength-12-mg-60-softgels/92368,$27.97,$27.97,Sports Research,https://www.iherb.com/c/sports-research,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/SRE/1688077568.png",96
79975,"D3 + K2, Plant Based, 125 mcg/100 mcg, 60 Veggie Softgels",True,SRE-01134,Sports,https://www.iherb.com/pr/sports-research-d3-k2-plant-based-125-mcg-100-mcg-60-veggie-softgels/79975,$25.97,$25.97,Sports Research,https://www.iherb.com/c/sports-research,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/SRE/1688077568.png",86
124734,"Sport, Electrolyte Powder, Natural Tropical, 9.84 oz (279 g)",True,CGN-02323,Sports,https://www.iherb.com/pr/california-gold-nutrition-sport-electrolyte-powder-natural-tropical-9-84-oz-279-g/124734,$11.81,$22.93,California Gold Nutrition,https://www.iherb.com/c/california-gold-nutrition,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/CGN/1729266818.png",11
